X-Axis,10x Region 3
-4.59053E+01, 3.52709E+03
-4.37773E+01, 3.52802E+03
-4.16500E+01, 3.52743E+03
-3.95235E+01, 3.52728E+03
-3.73978E+01, 3.52877E+03
-3.52729E+01, 3.52925E+03
-3.31488E+01, 3.53136E+03
-3.10254E+01, 3.53271E+03
-2.89028E+01, 3.53374E+03
-2.67810E+01, 3.53589E+03
-2.46599E+01, 3.53925E+03
-2.25396E+01, 3.54428E+03
-2.04201E+01, 3.55489E+03
-1.83014E+01, 3.58163E+03
-1.61834E+01, 3.70569E+03
-1.40662E+01, 4.25426E+03
-1.19497E+01, 5.52160E+03
-9.83408E+00, 7.79393E+03
-7.71919E+00, 1.16341E+04
-5.60506E+00, 1.55470E+04
-3.49171E+00, 2.19402E+04
-1.37912E+00, 3.77438E+04
 7.32704E-01, 4.69581E+04
 2.84376E+00, 4.83738E+04
 4.95404E+00, 3.37038E+04
 7.06356E+00, 2.42494E+04
 9.17232E+00, 1.43845E+04
 1.12803E+01, 1.01814E+04
 1.33875E+01, 6.84598E+03
 1.54940E+01, 4.95738E+03
 1.75997E+01, 3.88901E+03
 1.97046E+01, 3.63008E+03
 2.18088E+01, 3.57277E+03
 2.39122E+01, 3.55307E+03
 2.60148E+01, 3.54529E+03
 2.81167E+01, 3.53861E+03
 3.02178E+01, 3.53570E+03
 3.23181E+01, 3.53460E+03
 3.44177E+01, 3.53344E+03
 3.65165E+01, 3.53190E+03
 3.86146E+01, 3.53189E+03
 4.07119E+01, 3.53209E+03
 4.28084E+01, 3.53424E+03
 4.49042E+01, 3.54167E+03
 4.69992E+01, 3.55137E+03
 4.90935E+01, 3.57100E+03
 5.11870E+01, 3.59811E+03
 5.32797E+01, 3.63498E+03
 5.53717E+01, 3.68471E+03
 5.74630E+01, 3.73493E+03
 5.95534E+01, 3.77365E+03
 6.16431E+01, 3.79687E+03
 6.37321E+01, 3.80131E+03
 6.58203E+01, 3.80014E+03
 6.79077E+01, 3.80122E+03
 6.99944E+01, 3.79603E+03
 7.20804E+01, 3.79372E+03
 7.41655E+01, 3.78772E+03
 7.62500E+01, 3.78351E+03
 7.83336E+01, 3.77691E+03
 8.04165E+01, 3.77044E+03
 8.24987E+01, 3.76853E+03
 8.45801E+01, 3.76363E+03
 8.66608E+01, 3.75626E+03
 8.87407E+01, 3.75492E+03
 9.08198E+01, 3.75530E+03
 9.28982E+01, 3.75909E+03
 9.49758E+01, 3.75467E+03
