group,conc,Area at 478 1/cm,Center at 478 1/cm,FWHM at 478 1/cm,Area at 862 1/cm,Center at 862 1/cm,FWHM at 862 1/cm,Area at 939 1/cm,Center at 939 1/cm,FWHM at 939 1/cm,Area at 1080 1/cm,Center at 1080 1/cm,FWHM at 1080 1/cm,Area at 1650 1/cm,Center at 1650 1/cm,FWHM at 1650 1/cm,ratio_862_to_478,ratio_1650_to_1080
St,0.0,13.866577350352284,478.433,8.539397556028675,9.147609838831816,863.948,14.431460562441123,8.978554412122136,939.207,11.403632657735328,6.73553068590601,1083.04,8.06388799714661,8.58185273874619,1652.29,44.373826593974826,0.6596876509400078,1.2741167903374828
St,14.0,13.58555670444555,478.433,8.02171136466868,8.767572024333372,863.948,13.22594584933579,8.674234036737005,939.207,13.112282718521342,6.356004304256661,1083.04,7.3053026305924735,9.386757170439287,1652.29,40.678989319393395,0.6453597901854397,1.4768330418141644
St,21.0,14.181614757373762,478.433,8.877381460151904,9.102611849774238,865.753,13.484818034789368,8.983727926492733,940.986,13.51237801543304,6.661140120247948,1083.04,7.175671836207725,11.099184229302478,1644.59,40.89750796584285,0.6418600424215667,1.666258932996193
St,7.0,14.085954855714613,478.433,8.697165670708968,9.053885404639658,863.948,13.560431727154667,8.870239985429246,940.986,14.116829284120794,6.605928734898203,1083.04,7.372806430884196,10.935138113484962,1661.5,45.205826364143334,0.6427597913936615,1.6553521166094554
St iC,0.0,14.554976861544947,478.433,9.986275515986275,9.956325376992925,862.143,14.032399573573498,8.589138471826342,939.207,10.514358710937497,7.718728052528887,1083.04,8.311582258998746,11.801332526545607,1658.43,43.94580231060824,0.684049550315541,1.5289219216214176
St iC,14.0,14.3671702032789,478.433,9.90303915709478,8.817361550011093,863.948,14.347316667368563,8.193177185616982,937.428,12.46907470908401,7.024320789839153,1083.04,7.546044002120644,9.336952183792013,1659.97,40.230111143256444,0.6137159527767535,1.3292320301342355
St iC,21.0,14.299316871508067,476.493,9.386575969460885,9.498999955492796,858.531,14.835933488011921,7.920286774863074,939.207,11.781594459996626,8.168691404953467,1084.77,7.8114470401220935,12.066458662022386,1632.26,15.472350701717243,0.6642974654558439,1.477159322569748
St iC,7.0,14.389382765481123,476.493,9.80891974018117,9.825459597128104,862.143,14.266279249902153,8.668035166396272,937.428,12.240754944816944,7.666897313345267,1083.04,9.388514797766877,12.220260419905962,1659.97,40.82566750336595,0.6828270369385493,1.593899059875884
St kC,0.0,13.9292093248713,478.433,8.637694668386523,9.713222995719647,862.143,14.420421998948731,8.771751056174868,939.207,12.700955336635268,7.369552522478584,1083.04,7.1974981903723165,9.564050932188943,1659.97,41.45402665363041,0.6973276637013561,1.2977790582286655
St kC,14.0,14.293388833996715,478.433,9.114856091179549,10.608736333228379,863.948,18.240906618874295,9.484314656897212,939.207,11.910513578582473,8.070440110951827,1083.04,7.238323666348962,12.035056818955676,1659.97,44.19798754149029,0.7422128129611629,1.4912516112502645
St kC,21.0,14.155369720542348,478.433,8.908868679462927,10.240812196478247,865.753,16.9907723934777,8.79888986990284,939.207,13.400728508863468,7.643148544766555,1084.77,7.424162058471885,13.17627278972716,1663.04,41.828636990970665,0.7234577689353268,1.723932579950872
St kC,7.0,14.140652829971021,478.433,9.007062913581219,10.251146396153882,863.948,17.66987041928641,9.17939746716991,939.207,12.378785745906747,7.670833596370572,1083.04,6.6702334190180075,9.602827127712096,1661.5,43.28696261004046,0.724941522814749,1.2518622659544643
